word,definition
a/kin,［强调］
kule,颜色
mute,很多，非常
sewi,上面的，神圣的
akesi,蜥蜴，两栖类动物
kulupu,群组
nanpa,数字
sijelo,身体
ala,没有，无事
kute,听，耳朵
nasa,奇怪的
sike,圆形
alasa,打猎，搜寻
la,［语境］
nasin,方法，道路
sin,新的，再
ale,所有，所有东西
lape,睡觉
nena,凸处，鼻子
sina,你
anpa,低的
laso,蓝色，绿色
ni,这，那
sinpin,面，墙壁
ante,不同的
lawa,头，统治
nimi,名字，词语
sitelen,图像，写
anu,或
len,衣服，遮盖物
noka,腿，脚
sona,知道
awen,保留，呆住
lete,冷的
o,［命令/祈使］
soweli,动物
e,［直接宾语］
li,［谓语］
olin,爱
suli,大的，重要的
en,［和］
lili,小的
ona,他/她/它
suno,太阳，光
esun,商店，交易
linja,线
open,开始，开启
supa,平面，桌子
ijo,东西
lipu,平的，页，书
pakala,破碎的
suwi,甜的，可爱的
ike,不好的
loje,红的
pali,做，制造，工作
tan,从，因为
ilo,工具
lon,在；真实的
palisa,棒
taso,但是；只
insa,里面
luka,手，手臂
pan,面包，谷物
tawa,去，移动；至到
jaki,恶心的，垃圾
lukin,看，眼睛；尝试
pana,给
telo,水，液体
jan,人
lupa,洞
pi,［重组形容词］
tenpo,时间
jelo,黄色
ma,土地
pilin,心脏，感觉
toki,说，语言
jo,有
mama,父母
pimeja,黑暗的，黑色
tomo,屋子，房间
kala,鱼
mani,钱
pini,完成，结束
tu,二
kalama,声音
meli,女性
pipi,虫子，昆虫
unpa,性爱
kama,来
mi,我，我们
poka,边，附近
uta,嘴巴
kasi,植物
mije,男性
poki,盒子，容器
utala,打架，战斗
ken,可以；有可能
moku,吃，食物
pona,好的，简单的
walo,白色
kepeken,使用
moli,死亡的，杀
pu,（道本语书）
wan,一
kili,水果
monsi,后面
sama,一样的；相似的
waso,鸟
kiwen,硬的，石头
mu,［动物声音］
seli,热的，火
wawa,强的，能量
ko,膏，粉
mun,月亮，星星
selo,层，皮肤
weka,不在的
kon,空气，灵气，精华
musi,有娱乐性的
seme,（什么）
wile,想要，需要
