word,definition
a/kin,[důraz]
kule,barva
mute,"mnoho, velmi"
sewi,"vysoký, svatý"
akesi,"plaz, žába"
kulupu,skupina
nanpa,číslo
sijelo,tělo
ala,"ne, žádný"
kute,"slyšet, ucho"
nasa,"zvláštní, podivný"
sike,kruh
alasa,"lovit, hledat"
la,[kontext]
nasin,"způsob, cesta"
sin,"nový, znovu"
ale,všechno
lape,spát
nena,"hrbol, nos"
sina,"ty, vy"
anpa,nízký
laso,"modrý, zelený"
ni,"toto, tamto"
sinpin,"tvář, zeď"
ante,odlišný
lawa,"hlava, řídit"
nimi,"jméno, slovo"
sitelen,"obrázek, psát"
anu,nebo
len,oblečení
noka,"noha, chodidlo"
sona,"vědět, znát"
awen,"udržet, zůstat"
lete,studený
o,[přání/rozkaz]
soweli,zvíře
e,[předmět]
li,[přísudek]
olin,milovat
suli,"velký, důležitý"
en,[a]
lili,malý
ona,on/ona/ono/oni/ony
suno,"slunce, světlo"
esun,"obchod, trh"
linja,"čára, provaz"
open,"začít, otevřít"
supa,"povrch, stůl"
ijo,věc
lipu,"plochý, strana"
pakala,rozbitý
suwi,sladký
ike,špatný
loje,červený
pali,"dělat, udělat, pracovat"
tan,"z, protože"
ilo,nástroj
lon,v/na; pravdivý
palisa,"klacek, tyč"
taso,ale; jen
insa,uvnitř
luka,"ruka, paže"
pan,"chléb, obilí"
tawa,"jít, hýbat se; k"
jaki,nechutný
lukin,"vidět, oko"
pana,dát
telo,"voda, tekutina"
jan,osoba
lupa,díra
pi,[přeskupení]
tenpo,čas
jelo,žlutý
ma,země
pilin,"srdce, cítit"
toki,"mluvit, jazyk"
jo,mít
mama,rodič
pimeja,"tmavý, černý"
tomo,"dům, místnost"
kala,ryba
mani,peníze
pini,"konec, skončit"
tu,dva
kalama,zvuk
meli,žena
pipi,"brouk, hmyz"
unpa,sex
kama,přijít
mi,"já, my"
poka,"bok, okolí"
uta,ústa
kasi,rostlina
mije,muž
poki,"krabice, nádoba"
utala,"bojovat, válčit"
ken,umět; možný
moku,"jíst, jídlo"
pona,"dobrý, jednoduchý"
walo,bílý
kepeken,pomocí
moli,"mrtvý, zabít"
pu,(kniha toki pona)
wan,jeden
kili,ovoce
monsi,záda
sama,stejný; jako
waso,pták
kiwen,"tvrdý, kámen"
mu,[zvířecí zvuk]
seli,"horký, oheň"
wawa,"silný, energie"
ko,"pasta, prášek"
mun,"měsíc, hvězda"
selo,"vrstva, kůže"
weka,pryč
kon,"vzduch, duch"
musi,zábavný
seme,[co]
wile,"chtít, potřeba"
