word,definition
a/kin,[nadruk]
kule,kleur
mute,"veel, zeer"
sewi,"boven, hoog, heilig"
akesi,"reptiel, amfibie"
kulupu,groep
nanpa,"nummer, getal"
sijelo,lichaam
ala,"niet, niets"
kute,"luisteren, oor"
nasa,"raar, vreemd"
sike,cirkel
alasa,"jagen, zoeken"
la,[context]
nasin,"weg, manier"
sin,"nieuw, opnieuw"
ale,"alle, alles"
lape,slapen
nena,"bult, neus"
sina,"jij, jou, u, jullie"
anpa,laag
laso,"blauw, groen"
ni,"dit, dat, deze"
sinpin,"gezicht, muur"
ante,anders
lawa,"hoofd, leiden"
nimi,"naam, woord"
sitelen,"plaatje, schrijven"
anu,of
len,"kleding, bedekking"
noka,"been, voet"
sona,"weten, kennen"
awen,"blijven, houden"
lete,koud
o,[wens/bevel]
soweli,(zoog)dier
e,[lijdend voorwerp]
li,[gezegde]
olin,"houden van, liefde"
suli,"groot, belangrijk"
en,[en]
lili,klein
ona,hij/zij/het
suno,"zon, licht"
esun,"winkel, handel"
linja,lijn
open,"starten, openen"
supa,"oppervlakte, tafel"
ijo,ding
lipu,"plat, pagina, boek"
pakala,gebroken
suwi,"zoet, lief"
ike,slecht
loje,rood
pali,"doen, maken, werken"
tan,"vanaf, omdat"
ilo,"gereedschap, tool"
lon,in/bij; waar
palisa,"stok, stang"
taso,maar; slechts
insa,binnenkant
luka,"hand, arm"
pan,"brood, graan"
tawa,"gaan, bewegen; naar"
jaki,"vies, afval"
lukin,"zien, oog; proberen"
pana,geven
telo,"water, vloeistof"
jan,"mens, persoon"
lupa,gat
pi,[herindeler]
tenpo,tijd
jelo,geel
ma,"land, grond"
pilin,"hart, voelen"
toki,"praten, taal"
jo,hebben
mama,ouder/vader/moeder
pimeja,"donker, zwart"
tomo,"huis, kamer"
kala,vis
mani,geld
pini,"beëindigd, verleden"
tu,twee
kalama,geluid
meli,"vrouw, vrouwelijk"
pipi,"insect, beestje"
unpa,seks
kama,komen; worden
mi,"ik, mij, wij, ons"
poka,"zijkant, nabijheid"
uta,mond
kasi,plant
mije,"man, mannelijk"
poki,"doos, container"
utala,"vechten, gevecht"
ken,kunnen; mogelijk
moku,"eten, voedsel"
pona,"goed, simpel"
walo,wit
kepeken,gebruiken
moli,"dood, doden"
pu,(Toki Pona boek)
wan,één
kili,fruit
monsi,"rug, achterkant"
sama,hetzelfde; net als
waso,vogel
kiwen,"hard, steen"
mu,[dierengeluid]
seli,"heet, vuur"
wawa,"krachtig, energie"
ko,"pasta, poeder"
mun,"maan, ster"
selo,"laag, huid"
weka,weg
kon,"lucht, geest, essentie"
musi,vermakelijk
seme,[wat]
wile,"willen, nodig hebben"
