word,definition
a/kin,[emfazo]
kule,koloro
mute,"tre, multaj"
sewi,"supro, alta, sankta"
akesi,"reptilio, amfibio"
kulupu,grupo
nanpa,"nombro, numero"
sijelo,korpo
ala,"ne, nenio"
kute,"aŭskulti, orelo"
nasa,"stranga, malkutima"
sike,cirklo
alasa,"ĉasi, serĉi"
la,[kunteksto]
nasin,"vojo, maniero"
sin,"nova, denove"
ale,"ĉio, ĉiuj"
lape,dormi
nena,"elstaraĵo, monteto, nazo"
sina,vi
anpa,"malsupra, suba"
laso,"blua, verda"
ni,"(ĉi) tio, (ĉi) tiu"
sinpin,"vizaĝo, muro"
ante,malsama
lawa,"kapo, gvidi"
nimi,"nomo, vorto"
sitelen,"bildo, skribi"
anu,aŭ
len,"vestaĵo, kovrilo"
noka,"kruro, piedo"
sona,"scii, koni"
awen,"resti, daŭre esti"
lete,malvarma
o,[deziro/ordono]
soweli,besto
e,[rekta objekto]
li,[predikato]
olin,ami
suli,"granda, grava"
en,[kaj]
lili,malgranda
ona,li/ŝi/ĝi/ili
suno,"suno, lumo"
esun,"vendejo, komerci"
linja,linio
open,"komenci, malfermi"
supa,"surfaco, tablo"
ijo,"io, afero, aĵo"
lipu,"plata, paĝo, libro"
pakala,rompita
suwi,"dolĉa, ĉarma"
ike,malbona
loje,ruĝa
pali,"fari, labori"
tan,"ekde, pro"
ilo,ilo
lon,en/ĉe; vera
palisa,"bastono, stango"
taso,sed; nur
insa,interno
luka,"mano, brako"
pan,"pano, greno"
tawa,"iri, moviĝi; al"
jaki,"malpura, rubaĵo"
lukin,"vidi, okulo; provi"
pana,doni
telo,"akvo, likvo"
jan,persono
lupa,truo
pi,[regrupigilo]
tenpo,tempo
jelo,flava
ma,"lando, tero"
pilin,"koro, senti"
toki,"paroli, lingvo"
jo,havi
mama,"patro, patrino"
pimeja,"malluma, nigra"
tomo,"domo, ĉambro"
kala,fiŝo
mani,mono
pini,"fini, fino"
tu,du
kalama,"sono, soni"
meli,"ino, ina"
pipi,"insekto, eta besto"
unpa,seksumi
kama,veni
mi,"mi, ni"
poka,"flanko, proksimaĵo"
uta,buŝo
kasi,planto
mije,"viro, vira"
poki,ujo
utala,"batali, batalo"
ken,povi; ebla
moku,"manĝi, manĝaĵo"
pona,"bona, simpla"
walo,blanka
kepeken,per
moli,"mortinta, mortigi"
pu,(la oficiala libro)
wan,unu
kili,frukto
monsi,"malantaŭo, dorso"
sama,sama; kiel
waso,birdo
kiwen,"malmolaĵo, ŝtono"
mu,[besta bleko]
seli,"varmega, fajro"
wawa,"forta, energio"
ko,"pasto, pulvoro"
mun,"luno, stelo"
selo,"tavolo, haŭto"
weka,"for, forigi"
kon,"aero, spirito, esenco"
musi,amuza
seme,"kio, kiu"
wile,"voli, bezoni"
