word,definition
a/kin,[emphase]
kule,couleur
mute,"beaucoup, très"
sewi,"supérieur, saint"
akesi,reptile
kulupu,groupe
nanpa,nombre
sijelo,corps
ala,"non, rien"
kute,"écouter, oreille"
nasa,"étrange, bizarre"
sike,cercle
alasa,"chasser, chercher"
la,[contexte]
nasin,"façon, chemin"
sin,nouveau
ale,tout
lape,dormir
nena,"montagne, nez"
sina,"tu, vous"
anpa,bas
laso,"bleu, vert"
ni,ce/cet/cette
sinpin,"visage, mur"
ante,différent
lawa,"tête, diriger"
nimi,"nom, mot"
sitelen,"écrire, image"
anu,ou
len,vêtement
noka,"jambe, pied"
sona,"savoir, information"
awen,"garder, rester"
lete,froid
o,[souhait/ordre]
soweli,animal
e,[objet direct]
li,[prédicat]
olin,"aimer, amour"
suli,"grand, important"
en,[et]
lili,petit
ona,il/elle/ils/elles
suno,"soleil, lumière"
esun,"boutique, commerce"
linja,ligne
open,"début, ouvrir"
supa,"surface, table"
ijo,chose
lipu,"surface plate, page, livre"
pakala,cassé
suwi,"sucré, mignon"
ike,mauvais
loje,rouge
pali,"faire, créer, travailler"
tan,"de, parce que, à cause de"
ilo,outil
lon,"en/dans, vrai"
palisa,bâton
taso,mais; juste
insa,intérieur
luka,"main, bras"
pan,"pain, grain"
tawa,"aller, bouger; à"
jaki,"sale, déchets"
lukin,"voir, regarder; essayer"
pana,donner
telo,"eau, liquide"
jan,personne
lupa,trou
pi,[regroupeur]
tenpo,temps
jelo,jaune
ma,terre
pilin,"cœur, sentir"
toki,"parler, langue"
jo,avoir
mama,parent
pimeja,"foncé, noir"
tomo,"bâtiment, pièce"
kala,poisson
mani,argent
pini,"fin, terminer"
tu,deux
kalama,"résonner, bruit"
meli,femme
pipi,insecte
unpa,sexe
kama,venir
mi,"je, me, nous/on"
poka,"côté, voisinage"
uta,bouche
kasi,plante
mije,homme
poki,"boîte, contenant"
utala,"combat, bataille"
ken,"pouvoir, possible"
moku,"manger, nourriture"
pona,"bon, simple"
walo,blanc
kepeken,"utiliser, avec (outil)"
moli,"mourir, tuer"
pu,(le livre officiel)
wan,un (nombre)
kili,fruit
monsi,derrière
sama,"même, comme"
waso,oiseau
kiwen,"dur, pierre"
mu,[bruit d’animal]
seli,"chaud, feu"
wawa,"fort, énergie"
ko,"pâte, poudre"
mun,"lune, étoile"
selo,"peau, couche"
weka,loin
kon,"air, esprit, essence"
musi,divertissant
seme,[quoi]
wile,"vouloir, nécessiter"
