word,definition
a/kin,[penekanan]
kule,warna
mute,"banyak, sangat"
sewi,"tinggi, suci"
akesi,"reptil, amfibi"
kulupu,kelompok
nanpa,angka
sijelo,tubuh
ala,tidak
kute,telinga
nasa,"gila, aneh"
sike,lingkaran
alasa,berburu
la,[konteks]
nasin,"cara, jalan"
sin,"baru, lagi"
ale,"semua, segala"
lape,tidur
nena,tonjolan
sina,"kamu, kalian"
anpa,rendah
laso,"biru, hijau"
ni,"ini, itu"
sinpin,"muka, dinding"
ante,berbeda
lawa,kepala
nimi,"nama, kata"
sitelen,"menulis, foto"
anu,atau
len,"kain, pakaian"
noka,kaki
sona,tahu
awen,"tetap, terus"
lete,dingin
o,[harapan/perintah]
soweli,hewan
e,[objek langsung]
li,[predikat]
olin,cinta
suli,"besar, penting"
en,[dan]
lili,kecil
ona,"dia, mereka"
suno,"cahaya, surya"
esun,"toko, pasar"
linja,garis
open,"mulai, buka"
supa,permukaan
ijo,benda
lipu,"kertas, buku"
pakala,rusak
suwi,"manis, imut"
ike,buruk
loje,merah
pali,melakukan
tan,"dari, karena"
ilo,alat
lon,di/pada; benar
palisa,tongkat
taso,"tapi, hanya"
insa,dalam
luka,"tangan, lengan"
pan,"roti, gandum"
tawa,bergerak; ke
jaki,"jijik, sampah"
lukin,"melihat, mata"
pana,memberi
telo,"air, cairan"
jan,orang
lupa,lubang
pi,[pengelompok]
tenpo,waktu
jelo,kuning
ma,daratan
pilin,"merasa, hati"
toki,berbicara
jo,memiliki
mama,orang tua
pimeja,"gelap, hitam"
tomo,"rumah, kamar"
kala,ikan
mani,uang
pini,selesai
tu,dua
kalama,suara
meli,perempuan
pipi,serangga
unpa,seks
kama,datang
mi,"aku, kami/kita"
poka,samping
uta,mulut
kasi,tumbuhan
mije,laki-laki
poki,"kotak, wadah"
utala,berkelahi
ken,bisa
moku,makan(an)
pona,baik
walo,putih
kepeken,menggunakan
moli,mati
pu,(buku toki pona)
wan,satu
kili,buah
monsi,belakang
sama,"sama, mirip"
waso,burung
kiwen,"batu, permata"
mu,[suara hewan]
seli,"panas, api"
wawa,kuat
ko,"pasta, bubuk"
mun,bulan
selo,"lapisan, kulit"
weka,"hilang, jauh"
kon,"udara, roh"
musi,menghibur
seme,[apa]
wile,"ingin, perlu"
