word,definition
a/kin,[enfasi]
kule,colore
mute,"molti, molto"
sewi,"cima, alto, sacro"
akesi,"rettile, anfibio"
kulupu,gruppo
nanpa,numero
sijelo,corpo
ala,"no, nulla"
kute,"ascoltare, orecchio"
nasa,"strano, bizzarro"
sike,cerchio
alasa,"caccia, ricerca"
la,[contesto]
nasin,"via, sentiero"
sin,"nuovo, ancora"
ale,"tutto, ogni cosa"
lape,sonno
nena,"protuberanza, naso"
sina,tu
anpa,basso
laso,"blu, verde"
ni,"questo, quello"
sinpin,"faccia, muro"
ante,differente
lawa,"testa, comando"
nimi,"nome, parola"
sitelen,"disegno, scrittura"
anu,o
len,"abbigliamento, coprire"
noka,"gamba, piede"
sona,conoscere
awen,"tenere, stare"
lete,freddo
o,[desiderio/imperativo]
soweli,animale
e,[oggetto diretto]
li,[predicato]
olin,amore
suli,"grande, importante"
en,[e]
lili,piccolo
ona,lui/lei/esso/loro
suno,"sole, luce"
esun,"negozio, commercio"
linja,linea
open,"iniziare, aprire"
supa,"superficie, tavolo"
ijo,"cosa, oggetto"
lipu,"piatto, pagina, libro"
pakala,rotto
suwi,"dolce, carino"
ike,cattivo
loje,rosso
pali,"fare, realizzare, lavorare"
tan,"da, perché"
ilo,strumento
lon,in/presso; vero
palisa,"bastoncino, bastone"
taso,ma; solamente
insa,dentro
luka,"mano, braccio"
pan,"pane, cereale"
tawa,"andare, muoversi; verso"
jaki,"disgustoso, rifiuto"
lukin,"vedere, occhio; provare a"
pana,dare
telo,"acqua, liquido"
jan,persona
lupa,buco
pi,[raggrupatore]
tenpo,tempo
jelo,giallo
ma,terra
pilin,"cuore, sentimento"
toki,"parlare, linguaggio"
jo,avere
mama,genitore
pimeja,"scuro, nero"
tomo,"casa, stanza"
kala,pesce
mani,"soldi, denaro"
pini,"fine, finito"
tu,due
kalama,suono
meli,femmina
pipi,insetto
unpa,sesso
kama,arrivare
mi,"Io, me, noi"
poka,"lato, vicinanza"
uta,bocca
kasi,pianta
mije,maschio
poki,"scatola, contenitore"
utala,"lotta, battaglia"
ken,può; possibile
moku,"mangiare, cibo"
pona,"buono, semplice"
walo,bianco
kepeken,"usare, con (strumento)"
moli,"morte, uccidere"
pu,(il libro del toki pona)
wan,uno
kili,frutta
monsi,dietro
sama,"medesimo; come, uguale"
waso,uccello
kiwen,"duro, roccia"
mu,[verso animale]
seli,"caldo, fuoco"
wawa,"forte, energia"
ko,"pasta, polvere"
mun,"luna, stella"
selo,"strato, pelle"
weka,"via, fuori, lontano"
kon,"aria, spirito, essenza"
musi,intrattenimento
seme,[cosa]
wile,"volere, bisogno"
