word,definition
a/kin,[podkreślenie]
kule,barwa
mute,"dużo, wiele"
sewi,"wysokie, święte"
akesi,"gad, żaba"
kulupu,grupa
nanpa,numer
sijelo,ciało
ala,"nie, nic"
kute,"słuchać, ucho"
nasa,"szalone, dziwne"
sike,"koło, okrąg"
alasa,"polować, szukać"
la,[kontekst]
nasin,"sposób, droga"
sin,"nowe, znowu"
ale,wszystko
lape,spać
nena,"wybój, nos"
sina,"ty, wy"
anpa,nisko
laso,morskie (barwa)
ni,"to, tamto"
sinpin,"twarz, ściana"
ante,inne
lawa,"głowa, rządzić"
nimi,"imię, słowo"
sitelen,"obraz, pisać"
anu,lub
len,"ubiór, zakryć"
noka,"noga, stopa"
sona,wiedzieć
awen,"trzymać, stać"
lete,zimne
o,[chęć/rozkaz]
soweli,zwierzę
e,[dopełnienie]
li,[orzeczenie]
olin,kochać
suli,"duże, ważne"
en,[i]
lili,małe
ona,on/ona/ono/oni/one
suno,"słońce, światło"
esun,"sklep, handel"
linja,linia
open,"zacząć, otworzyć"
supa,powierzchnia
ijo,rzecz
lipu,"papier, książka"
pakala,zepsute
suwi,słodkie
ike,złe
loje,czerwone
pali,"robić, pracować"
tan,"od, ponieważ"
ilo,narzędzie
lon,w/na; prawda
palisa,"kij, patyk"
taso,ale; tylko
insa,wnętrze
luka,"dłoń, ręka"
pan,"chleb, ziarno"
tawa,"iść, ruszać; do"
jaki,"ohydne, śmieć"
lukin,"widzieć, oko; próbować"
pana,dawać
telo,"woda, ciecz"
jan,osoba
lupa,dziura
pi,[grupowanie]
tenpo,czas
jelo,żółte
ma,ląd
pilin,"serce, czuć"
toki,"mówić, język"
jo,mieć
mama,rodzic
pimeja,"ciemne, czarne"
tomo,"dom, pokój"
kala,ryba
mani,pieniądze
pini,koniec
tu,dwa
kalama,dźwięk
meli,żeńska
pipi,"robak, owad"
unpa,seks
kama,dojść
mi,"ja, my"
poka,"bok, okolice"
uta,usta
kasi,roślina
mije,męski
poki,pojemnik
utala,walczyć
ken,móc; możliwe
moku,"jeść, jedzenie"
pona,"dobre, proste"
walo,białe
kepeken,za pomocą
moli,"martwe, zabić"
pu,(książka toki pony)
wan,jeden
kili,"owoc, warzywo"
monsi,tył
sama,takie same; podobne
waso,ptak
kiwen,"twarde, kamień"
mu,[odgłos zwierzęcy]
seli,"gorące, ogień"
wawa,"silne, energia"
ko,"glina, proch"
mun,"księżyc, gwiazda"
selo,"warstwa, skóra"
weka,"wyrzucić, daleko"
kon,"powietrze, duch"
musi,zabawne
seme,[co/kto]
wile,"chcieć, musieć"
