word,definition
a/kin,[ênfase]
kule,cor
mute,muito
sewi,"alto, sagrado"
akesi,"réptil, sapo"
kulupu,grupo
nanpa,número
sijelo,corpo
ala,"não, nada"
kute,"ouvir, ouvido"
nasa,"louco, estranho"
sike,círculo
alasa,"caçar, procurar"
la,[contexto]
nasin,caminho
sin,novo
ale,"todo, tudo"
lape,dormir
nena,"monte, nariz"
sina,você(s)
anpa,baixo
laso,"azul, verde"
ni,"isto, este, esso"
sinpin,"cara, parede"
ante,diferente
lawa,"cabeça, liderar"
nimi,"nome, palavra"
sitelen,"escrever, foto"
anu,ou
len,"roupas, pano"
noka,"perna, pé"
sona,"saber, conhecer"
awen,manter
lete,frio
o,[desejo/comando]
soweli,animal
e,[objeto direto]
li,[predicado]
olin,amar
suli,grande
en,[e]
lili,pequeno
ona,ele(s)/ela(s)
suno,"sol, luz"
esun,"loja, comércio"
linja,linha
open,"começar, abrir"
supa,superfície
ijo,coisa
lipu,"papel, livro"
pakala,quebrado
suwi,"doce, fofo"
ike,"ruim, mal, mau"
loje,vermelho
pali,"fazer, trabalhar"
tan,"de, por"
ilo,instrumento
lon,em; certo
palisa,"vara, poste"
taso,"mas, só"
insa,interior
luka,"mão, braço"
pan,"pão, grão"
tawa,"ir, deslocar; a"
jaki,"sujo, lixo"
lukin,"ver, olhar"
pana,dar
telo,"áqua, líquido"
jan,pessoa
lupa,buraco
pi,[reagrupador]
tenpo,"tempo, hora"
jelo,amarelo
ma,terra
pilin,"coração, sentir"
toki,"idioma, falar"
jo,ter
mama,"pai, mãe"
pimeja,"escuro, preto"
tomo,"casa, prédio"
kala,peixe
mani,dinheiro
pini,"fim, acabar"
tu,dois
kalama,"soar, som"
meli,mulher
pipi,inseto
unpa,sexo
kama,"vir, tornar-se"
mi,"eu, me, nós"
poka,"lado, perto"
uta,boca
kasi,planta
mije,homem
poki,caixa
utala,"lutar, guerra"
ken,poder
moku,"comer, comida"
pona,"bom, simples"
walo,branco
kepeken,usar
moli,"morrer, matar"
pu,(o livro oficial)
wan,um (número)
kili,fruta
monsi,traseiro
sama,mesmo; como
waso,pássaro
kiwen,pedra
mu,[ruído animal]
seli,"quente, fogo"
wawa,"forte, energia"
ko,"pó, pasta"
mun,lua
selo,"pele, camada"
weka,"fora, longe"
kon,"ar, espírito"
musi,divertido
seme,[o que/cual]
wile,"querer, precisar"
