word,definition
a/kin,[акцент]
kule,цвет
mute,"много, очень"
sewi,"верх, святой"
akesi,рептилия
kulupu,группа
nanpa,"число, номер"
sijelo,тело
ala,"нет, ничего"
kute,слух
nasa,странный
sike,круг
alasa,"охота, поиск"
la,[контекст]
nasin,"путь, дорога"
sin,"новый, снова"
ale,"все, всё"
lape,сон
nena,"холм, нос"
sina,"ты, вы"
anpa,"низ, внизу"
laso,"синий, зелёный"
ni,"это, то"
sinpin,"лицо, стена"
ante,другой
lawa,голова
nimi,"слово, имя"
sitelen,"картина, письмо"
anu,или
len,"одежда, ткань"
noka,нога
sona,"знать, знание"
awen,оставаться
lete,холод
o,[охо́та/приказ]
soweli,животное
e,[дополнение]
li,[сказуемое]
olin,любовь
suli,большой
en,[и]
lili,маленький
ona,он/она/оно/они
suno,"солнце, свет"
esun,торговля
linja,линия
open,"начать, открыть"
supa,поверхность
ijo,вещь
lipu,"бумага, книга"
pakala,сло́манный
suwi,сладкий
ike,плохой
loje,красный
pali,делать
tan,"из, из-за"
ilo,инструмент
lon,на/в; правда
palisa,палка
taso,"но, только"
insa,"внутри, центр"
luka,рука
pan,"хлеб, зерно"
tawa,идти; к
jaki,"грязь, мусор"
lukin,зрение
pana,давать
telo,"вода, жидкий"
jan,человек
lupa,дыра
pi,[группа прил.]
tenpo,время
jelo,жёлтый
ma,земля
pilin,"сердце, чувство"
toki,"говорить, язык"
jo,иметь
mama,родитель
pimeja,тёмный
tomo,"дом, комната"
kala,рыба
mani,деньги
pini,прекращать
tu,два
kalama,звук
meli,женщина
pipi,насекомое
unpa,секс
kama,становиться
mi,"я, мы"
poka,"бок, рядом"
uta,рот
kasi,растение
mije,мужчина
poki,"коробка, ящик"
utala,"драка, битва"
ken,возможность
moku,"кушать, еда"
pona,"просто, хорошо"
walo,белый
kepeken,использовать
moli,мёртвый
pu,(основная книга)
wan,один
kili,фрукт
monsi,"сзади, спина"
sama,похожий
waso,птица
kiwen,камень
mu,[звук зверя]
seli,"тепло, огонь"
wawa,"сила, энергия"
ko,"паста, порошок"
mun,"луна, звезда́"
selo,"слой, кожа"
weka,далеко
kon,"воздух, дух"
musi,развлечение
seme,[что]
wile,"хотеть, нужда"
