word,definition
a/kin,[dôraz]
kule,farba
mute,"veľa, veľmi"
sewi,"horný, vysoký, svätý"
akesi,"plaz, obojživelník"
kulupu,skupina
nanpa,číslo
sijelo,telo
ala,"nie, nič, žiadny"
kute,"počúvať, ucho"
nasa,"zvláštny, podivný"
sike,kruh
alasa,"loviť, hľadať"
la,[kontext]
nasin,"spôsob, cesta"
sin,"nový, znovu"
ale,všetko
lape,spať
nena,"hrboľ, nos"
sina,"ty, vy"
anpa,nízky
laso,"modrý, zelený"
ni,"toto, tamto"
sinpin,"tvár, múr"
ante,odlišný
lawa,"hlava, riadiť"
nimi,"meno, slovo"
sitelen,"obrázok, písať"
anu,alebo
len,"oblečenie, zakryť"
noka,"noha, chodidlo"
sona,"vedieť, poznať"
awen,"udržať, zostať"
lete,studený
o,[želanie/rozkaz]
soweli,zviera
e,[priamy predmet]
li,[prísudok]
olin,milovať
suli,"veľký, dôležitý"
en,[a]
lili,malý
ona,on/ona/ono/oni/ony
suno,"slnko, svetlo"
esun,"obchod, trh"
linja,"čiara, povraz"
open,"začať, otvoriť"
supa,"povrch, stôl"
ijo,vec
lipu,"plochý, strana, kniha"
pakala,rozbitý
suwi,"sladký, roztomilý"
ike,zlý
loje,červený
pali,"robiť, urobiť, pracovať"
tan,"z, pretože, kvôli"
ilo,nástroj
lon,v/na; pravdivý
palisa,"palica, tyč"
taso,ale; len
insa,vnútri
luka,"ruka, paža"
pan,"chlieb, obilie"
tawa,"ísť, hýbať sa; k, do"
jaki,"nechutný, odpad"
lukin,"vidieť, oko; skúsiť"
pana,dať
telo,"voda, tekutina"
jan,osoba
lupa,diera
pi,[preskupenie]
tenpo,čas
jelo,žltý
ma,zem
pilin,"srdce, cítiť"
toki,"hovoriť, jazyk"
jo,mať
mama,rodič
pimeja,"tmavý, čierny"
tomo,"dom, miestnosť"
kala,ryba
mani,peniaze
pini,"koniec, skončiť"
tu,dva
kalama,zvuk
meli,žena
pipi,"chrobák, hmyz"
unpa,sex
kama,prísť
mi,"ja, my"
poka,"bok, okolie"
uta,ústa
kasi,rastlina
mije,muž
poki,"krabica, nádoba"
utala,"zápasiť, bojovať"
ken,"vedieť, môcť; možný"
moku,"jesť, jedlo"
pona,"dobrý, jednoduchý"
walo,biely
kepeken,"pomocou, s (nástrojom)"
moli,"mŕtvy, zabiť"
pu,(kniha toki pona)
wan,jeden
kili,ovocie
monsi,chrbát
sama,rovnaký; ako
waso,vták
kiwen,"tvrdý, kameň"
mu,[zvierací zvuk]
seli,"horúci, oheň"
wawa,"silný, energia"
ko,"pasta, prášok"
mun,"mesiac, hviezda"
selo,"vrstva, koža"
weka,preč
kon,"vzduch, duch, esencia"
musi,zábavný
seme,[čo]
wile,"chcieť, potrebovať"
