word,definition
a/kin,[énfasis]
kule,color
mute,"mucho, muy"
sewi,"superior, santo"
akesi,"reptil, anfibio"
kulupu,grupo
nanpa,número
sijelo,cuerpo
ala,"no, nada"
kute,"escuchar, oído"
nasa,"extraño, raro"
sike,círculo
alasa,"cazar, buscar"
la,[contexto]
nasin,"camino, manera"
sin,nuevo
ale,todo
lape,dormir
nena,"montaña, nariz"
sina,"tú, usted(es)"
anpa,bajo
laso,"azul, verde"
ni,"este, eso"
sinpin,"cara, muro"
ante,diferente
lawa,"cabeza, dirigir"
nimi,"nombre, palabra"
sitelen,"foto, escribir"
anu,o
len,"ropa, cubrir"
noka,"pierna, pie"
sona,"saber, conocer"
awen,mantener
lete,frío
o,[deseo/mandato]
soweli,animal
e,[objeto directo]
li,[predicado]
olin,"amar, respetar"
suli,grande
en,[y]
lili,pequeño
ona,él/ella/ellos/ellas
suno,"sol, luz"
esun,"tienda, comerciar"
linja,línea
open,"empezar, abrir"
supa,superficie
ijo,cosa
lipu,"papel, libro"
pakala,roto
suwi,"dulce, lindo"
ike,mal
loje,rojo
pali,"hacer, trabajar"
tan,"de, por"
ilo,instrumento
lon,"en, cierto"
palisa,"palo, barra"
taso,pero; solo
insa,interior
luka,"mano, brazo"
pan,"pan, grano"
tawa,"ir, mover; a"
jaki,"sucio, basura"
lukin,"ver, ojo"
pana,dar
telo,"agua, líquido"
jan,persona
lupa,"agujero, hueco"
pi,[reagrupador]
tenpo,"hora, tiempo"
jelo,amarillo
ma,tierra
pilin,"corazón, sentir"
toki,"hablar, idioma"
jo,tener
mama,"padre, madre"
pimeja,"oscuro, negro"
tomo,"casa, edificio"
kala,pez
mani,dinero
pini,"fin, terminar"
tu,dos
kalama,"soñar, sonido"
meli,mujer
pipi,insecto
unpa,sexo
kama,"venir, llegar"
mi,"yo, mí, nosotros"
poka,lado
uta,boca
kasi,planta
mije,hombre
poki,caja
utala,"luchar, guerra"
ken,poder; posible
moku,"comer, comida"
pona,"bueno, simple"
walo,blanco
kepeken,usando
moli,"muerto, matar"
pu,(libro de toki pona)
wan,uno
kili,fruta
monsi,posterior
sama,mismo; como
waso,pájaro
kiwen,"duro, piedra"
mu,[ruido animal]
seli,"caliente, fuego"
wawa,"fuerte, energía"
ko,"pasta, polvo"
mun,"luna, estrella"
selo,"capa, piel"
weka,lejos
kon,"aire, esencia"
musi,entretenido
seme,[qué]
wile,"querer, necesitar"
