word,definition
a/kin,[vurgu]
kule,renk
mute,çok
sewi,"yukarı, kutsal"
akesi,"sürüngen, amfibi"
kulupu,grup
nanpa,"sayı, rakam"
sijelo,vücut
ala,"hayır, yok, hiçbir"
kute,"duymak, kulak"
nasa,garip
sike,"yuvarlak, daire"
alasa,"avlamak, aramak"
la,[bağlam]
nasin,"yol, patika"
sin,"yeni, yine"
ale,"her, hepsi"
lape,"uyku, uyumak"
nena,"tümsek, burun"
sina,"sen, siz"
anpa,düşük
laso,"mavi, yeşil"
ni,"şu, bu"
sinpin,"düzlem, duvar"
ante,"farklı, değişik"
lawa,"baş, kural"
nimi,"isim, kelime"
sitelen,"resim, yazmak"
anu,ya da
len,"kıyafet, kılıf"
noka,"bacak, ayak"
sona,bilmek
awen,kalmak
lete,soğuk
o,[istek/emir]
soweli,hayvan
e,[dolaysız nesne]
li,[yüklem]
olin,"aşk, sevgi, sevmek"
suli,"büyük, önemli"
en,[ve]
lili,küçük
ona,"o, onlar"
suno,"güneş, ışık"
esun,"market, takas"
linja,çizgi
open,"başlamak, açmak"
supa,"yüzey, masa"
ijo,"şey, nesne"
lipu,"sayfa, kitap"
pakala,kırık
suwi,"tatlı, şirin"
ike,kötü
loje,kırmızı
pali,"yapmak, çalışmak"
tan,"-dan, çünkü"
ilo,alet
lon,"-de/-da, doğru"
palisa,çubuk
taso,ama; sadece
insa,içinde
luka,"kol, el"
pan,"ekmek, tahıl"
tawa,gitmek; -a
jaki,"iğrenç, çöp"
lukin,"görmek, göz"
pana,vermek
telo,"su, sıvı"
jan,kişi
lupa,delik
pi,[gruplandırıcı]
tenpo,zaman
jelo,sarı
ma,"yer, kara"
pilin,"kalp, hissetmek"
toki,"konuşmak, dil"
jo,sahip olmak
mama,ebeveyn
pimeja,"siyah, karanlık"
tomo,"ev, oda"
kala,balık
mani,para
pini,"son, bitirmek, bitiş"
tu,iki
kalama,ses
meli,dişi
pipi,böcek
unpa,"sevişmek, seks"
kama,gelmek
mi,"ben, biz"
poka,"yön, taraf, yakın"
uta,ağız
kasi,bitki
mije,erkek
poki,"kutu, kap"
utala,"kavga, dövüş"
ken,yapabilmek
moku,yemek
pona,"güzel, basit"
walo,beyaz
kepeken,kullanmak
moli,"ölü, öldürmek"
pu,(toki pona kitabı)
wan,bir
kili,meyve
monsi,arka
sama,"aynı, benzer"
waso,kuş
kiwen,"sert, taş"
mu,[hayvan sesi]
seli,"sıcak, ateş"
wawa,"güç, enerji"
ko,"macun, toz"
mun,"ay, yıldız"
selo,"katman, deri"
weka,uzak
kon,"hava, ruh, esans"
musi,öğretici
seme,[ne]
wile,"istemek, ihtiyaç"
